id,level_id,numeric_id,display_name,description,timer_seconds,required_dungeon_score,total_available_kill_score,total_placed_enemies,min_difficulty,max_difficulty,max_players,enabled_in_game,available_for_quickplay,provenance_origin,provenance_dev_name,provenance_source,provenance_source_authority
CrystalMines,Level.ID.CrystalMines,1,,,,,462.0,216,,,,,,datamine,,,legacy_unbound
DemonicRitual,Level.ID.DemonicRitual,5,The Heart of Tuzari,"Beneath the twisted canopy of the Tuzari Wilds rests the heart of the jungle’s corruption. Ages ago, the old empires sacrificed one hundred holy martyrs to forge a colossal blade called the Demonbrand. With it, they impaled the demon lord Baphumos, trapping his body and hunger in stone. Now the Prophet Ez’rath leads the Urrak into the ruins, offering blood and prayer to awaken the demon once more.",1485.0,238,500.0,262,0,2147483647,4,true,false,datamine,,,legacy_unbound
DesertDunes,Level.ID.DesertDunes,6,Empyrean Sands,"Under the cold light of the moon, the dunes of the Empyrean Sands shift and whisper. From beneath their surface, the Sin-Magir rises once more, the Augur of the Stars reborn in deathless form. His followers gather beneath the constellations, drawn to a celestial relic capable of restoring their ancient empire.",744.0,130,431.0,166,0,2147483647,4,true,true,datamine,,,legacy_unbound
ElfMines,Level.ID.ElfMines,25,Godfall Quarry,"Beneath the jagged peaks of the Godfall Mountains, a hidden quarry pulses with unnatural light. The Nezari Elves have begun a relentless mining operation deep within the stone, tearing blood-red crystals from the earth in a frenzy. Their reasons remain cloaked in secrecy, but the brutality of their methods is plain to see. The Nezari prepare for war.",738.0,130,291.0,161,0,2147483647,4,true,true,datamine,,,legacy_unbound
ForestMeadow,Level.ID.ForestMeadow,28,Woodland Glade,,,999999,0.0,115,,,8,true,,datamine,,,legacy_unbound
FrozenKingdom,Level.ID.FrozenKingdom,7,Cithrel's Fall,"To the frozen south, high atop the Ael'deth Mountain, lies the hidden prison of Al’zerac, an ancient frost wyrm. For centuries, the Eldrin have guarded the vault, but time wears down both vigilance and faith. Cithrel now walks the outer wards, her power cracking ancient seals that once bound the Great Wyrm. When the final lock breaks, Al’zerac will rise again, not as a god to be worshiped but as a weapon to restore the Eldrin’s ancient dominion.",1671.0,188,326.0,136,0,2147483647,4,true,false,datamine,,,legacy_unbound
IceCave,Level.ID.IceCave,8,Wyrmheart,"Beneath the ice-choked peaks of the Ael’deth Mountains, an ancient power stirs. Frozen halls tremble as the last egg of Al’zerac’s brood pulses with life once thought extinguished. The cruel Apostate Veras leads his cult through the shattered caverns, seeking to harness the wyrmling’s power.",806.0,109,188.0,82,0,2147483647,4,true,true,datamine,,,legacy_unbound
JourneyToStronghold,Level.ID.JourneyToStronghold,9,Journey To Stronghold,,600.0,55,0.0,14,0,2147483647,4,false,false,datamine,,,legacy_unbound
MoorCastle,Level.ID.MoorCastle,29,Ruins of Regath,"The outpost of Regath festers with decay. The land it stands upon is soaked with the blood of fallen warriors; betrayed by a Heskyr acolyte, slain in a forgotten battle, for an unholy cause. Now their restless spirits are bound to the land by the unnatural magics of the lost Blood Reliquary, hidden in the crypt beneath.

Hoping to extract the blood from within, the Heskyr have mounted an offensive on the keep's inner sanctum. They have stormed the crumbling walls with ease and now seek to unleash the dormant power, awaking the anger and hate of the unquiet dead.",900.0,155,501.0,210,,,4,true,true,datamine,,,legacy_unbound
MythicForest,Level.ID.MythicForest,11,Everdawn Grove,"In the radiant heart of Farvalaan, the Everdawn Grove blooms with golden grass and violet petals that shimmer beneath eternal sunlight. Now, shadows creep among the roots. Malgut, chieftain of the beastmen, seeks salvation for his tribe and instead finds corruption. Whispering voices promise him power, and the bloodstone crystals that grow from the soil pulse in answer. These once noble changelings call to Akari, the Dawn Lord, a great spirit who presides over Farvalaan's sunlit groves.",708.0,110,390.0,200,0,2147483647,4,true,true,datamine,,,legacy_unbound
NightPatrol,Level.ID.NightPatrol,12,Stormwatch,"A dark storm churns above the cliffs beyond Stronghold, where the arrogant orc Warlord Brogg channels thunder and fury. His raiders gather like wolves at the gate, ready to tear down the walls and claim the fort for themselves. Brogg must be made an example to prove to all other would-be bandits and raiders that the Stronghold will not be easily taken.",848.0,155,274.0,130,0,2147483647,4,true,true,datamine,,,legacy_unbound
PirateRaid,Level.ID.PirateRaid,13,Wraithtide Vault,"The holy vault of Wraithtide sleeps beneath a tropical isle, its location guarded by generations of fearful villagers. Within lies the spirit of Bael’Aurum, a demon whose hunger for gold once drowned empires in ruin. The seal now weakens as undead pirates scour the island, led by the Deathless Katrine, who seeks to claim the demon’s treasure and power.",1782.0,281,642.0,250,0,2147483647,4,true,false,datamine,,,legacy_unbound
SandTomb,Level.ID.SandTomb,30,"Xul, The Blood Monolith","Built at the zenith of the first Heskyrian Dynasty, the Blood Monolith served as the altar of their magic, where rituals of untold power were performed that cast doom on the world and ensured the Heskyr retained their stranglehold. After the dynasty fell, its dormant magics still protected this seat of power, and to this day, no soul who entered has ever emerged.

Now the Heskry rise again and the altars of Xul are stirring within the tower where only screams escape.",1700.0,265,656.5,236,,,4,true,,datamine,,,legacy_unbound
